Gene.name,Entrez.ID
HMGCR,3156
HMGCS1,3157
MVD,4597
FDPS,2224
ACAT2,39
MVK,4598
GGPS1,9453
SREBP2,6721
ACSS2,55902
ACLY,47
LDLR,3949
DPAGT1,1798
INSIG1,3638
FDFT1,2222
