,6-gene,10-gene,100-gene,500-gene,900-gene
Iteration1,513.72,513.75,514.16,514.8,517.55
Iteration2,513.74,513.77,514.19,512.74,515.58
Iteration3,515.98,513.79,514.2,514.86,515.59
Iteration4,531.15,513.81,514.22,523.8,524.58
Iteration5,514.03,554.08,513.13,514.17,516.2
